entry_time,exit_time,symbol,strategy,regime,conf,return_pct
2020-11-09 07:30:00,2020-11-11 07:30:00,XTZUSDT,diplong,Bull,0.0000,2.1803
2020-11-10 21:30:00,2020-11-12 21:30:00,XTZUSDT,swing_long,Bull,0.0000,2.7417
2020-11-11 19:30:00,2020-11-13 19:30:00,XTZUSDT,diplong,Bull,0.0000,3.6606
2020-11-14 07:30:00,2020-11-16 07:30:00,XTZUSDT,diplong,Bull,0.2183,-3.1648
2020-11-14 09:30:00,2020-11-17 09:30:00,XTZUSDT,accumgrid,Bull,0.1063,0.3251
2020-11-15 17:30:00,2020-11-17 17:30:00,XTZUSDT,swing_long,Bull,0.0000,-3.4309
2020-11-18 13:30:00,2020-11-21 13:30:00,XTZUSDT,accumgrid,Bull,0.1063,-0.8701
2020-11-21 07:30:00,2020-11-24 07:30:00,XTZUSDT,accumgrid,Bull,0.1063,3.8208
2020-11-25 12:30:00,2020-11-28 12:30:00,XTZUSDT,grid,Bull,0.0000,4.8958
2020-11-25 12:30:00,2020-11-28 12:30:00,XTZUSDT,gridshort,Bull,0.0000,-3.2436
2020-11-28 15:30:00,2020-12-01 15:30:00,XTZUSDT,ripshort,Bear,0.1184,-8.8147
2020-12-01 16:30:00,2020-12-04 16:30:00,XTZUSDT,accumgrid,Bull,0.1063,-0.5835
2020-12-02 20:30:00,2020-12-04 20:30:00,XTZUSDT,diplong,Bull,0.0000,0.9727
2020-12-11 11:30:00,2020-12-14 11:30:00,XTZUSDT,ripshort,Bear,0.1184,11.8724
2020-12-16 18:30:00,2020-12-18 18:30:00,XTZUSDT,diplong,Bull,0.2183,3.5511
2020-12-18 14:30:00,2020-12-21 14:30:00,XTZUSDT,accumgrid,Bull,0.1063,-0.1319
2020-12-19 16:30:00,2020-12-21 16:30:00,XTZUSDT,diplong,Bull,0.2183,1.1235
2020-12-19 19:30:00,2020-12-21 19:30:00,XTZUSDT,swing_long,Bull,0.2694,-0.2100
2020-12-20 06:30:00,2020-12-23 06:30:00,XTZUSDT,accumgrid,Bull,0.1063,0.0826
2020-12-21 09:00:00,2020-12-23 09:00:00,XTZUSDT,swing_long,Bull,0.0000,-3.8760
2020-12-21 10:15:00,2020-12-23 10:15:00,XTZUSDT,diplong,Bull,0.0000,-6.3621
2021-01-05 20:15:00,2021-01-07 20:15:00,XTZUSDT,diplong,Bull,0.0000,14.3306
2021-01-06 14:30:00,2021-01-08 14:30:00,XTZUSDT,swing_long,Bull,0.0000,14.8400
2021-01-08 03:30:00,2021-01-11 03:30:00,XTZUSDT,accumgrid,Bull,0.1063,-2.7086
2021-01-19 07:30:00,2021-01-21 07:30:00,XTZUSDT,diplong,Bull,0.0000,-0.2196
2021-01-22 12:45:00,2021-01-25 12:45:00,XTZUSDT,ripshort,Bear,0.1184,-11.7840
2021-01-25 11:30:00,2021-01-27 11:30:00,XTZUSDT,diplong,Bull,0.0000,3.0792
2021-01-30 03:30:00,2021-02-02 03:30:00,XTZUSDT,grid,Bull,0.0000,-0.0917
2021-01-30 03:30:00,2021-02-02 03:30:00,XTZUSDT,grid,Bull,0.0000,-0.9757
2021-01-30 13:30:00,2021-02-02 13:30:00,XTZUSDT,grid,Bull,0.0000,2.7113
2021-01-31 02:30:00,2021-02-03 02:30:00,XTZUSDT,gridshort,Bull,0.0000,1.2173
2021-01-31 03:30:00,2021-02-03 03:30:00,XTZUSDT,grid,Bull,0.0000,0.2700
2021-02-04 04:30:00,2021-02-07 04:30:00,XTZUSDT,accumgrid,Bull,0.1063,4.9419
2021-02-04 09:30:00,2021-02-07 09:30:00,XTZUSDT,accumgrid,Bull,0.1063,6.0934
2021-02-04 11:30:00,2021-02-06 11:30:00,XTZUSDT,swing_long,Bull,0.2694,1.9950
2021-02-05 03:30:00,2021-02-07 03:30:00,XTZUSDT,diplong,Bull,0.0000,5.5385
2021-02-20 07:30:00,2021-02-23 07:30:00,XTZUSDT,gridshort,Bull,0.0000,1.4753
2021-02-20 09:30:00,2021-02-23 09:30:00,XTZUSDT,grid,Bull,0.0000,1.4939
2021-02-20 09:30:00,2021-02-23 09:30:00,XTZUSDT,grid,Bull,0.0000,0.5968
2021-02-20 13:30:00,2021-02-23 13:30:00,XTZUSDT,grid,Bull,0.0000,1.3550
2021-02-20 14:30:00,2021-02-23 14:30:00,XTZUSDT,gridshort,Bull,0.0000,4.6312
2021-02-20 14:30:00,2021-02-23 14:30:00,XTZUSDT,gridshort,Bull,0.0000,3.9527
2021-02-20 14:30:00,2021-02-23 14:30:00,XTZUSDT,gridshort,Bull,0.0000,3.2644
2021-02-20 22:30:00,2021-02-23 22:30:00,XTZUSDT,accumgrid,Bull,0.1063,-7.1179
2021-02-24 08:45:00,2021-02-27 08:45:00,XTZUSDT,ripshort,Bear,0.1184,6.3075
2021-03-09 02:30:00,2021-03-11 02:30:00,XTZUSDT,diplong,Bull,0.0000,16.7019
2021-03-09 03:30:00,2021-03-11 03:30:00,XTZUSDT,swing_long,Bull,0.0000,16.9110
2021-03-10 12:30:00,2021-03-13 12:30:00,XTZUSDT,accumgrid,Bull,0.1063,-0.0348
2021-03-14 15:30:00,2021-03-17 15:30:00,XTZUSDT,accumgrid,Bull,0.1063,0.7079
2021-03-17 14:30:00,2021-03-20 14:30:00,XTZUSDT,ripshort,Bear,0.0000,-2.8611
2021-03-20 05:30:00,2021-03-23 05:30:00,XTZUSDT,gridshort,Bull,0.0000,-0.7820
2021-03-20 05:30:00,2021-03-22 05:30:00,XTZUSDT,swing_long,Bull,0.0000,-1.0046
2021-03-20 05:30:00,2021-03-23 05:30:00,XTZUSDT,gridshort,Bull,0.0000,-1.2541
2021-03-20 18:30:00,2021-03-22 18:30:00,XTZUSDT,diplong,Bull,0.0000,5.5429
2021-03-29 14:30:00,2021-03-31 14:30:00,XTZUSDT,diplong,Bull,0.2183,6.9108
2021-04-09 01:30:00,2021-04-11 01:30:00,XTZUSDT,diplong,Bull,0.0000,1.1875
2021-04-23 01:30:00,2021-04-26 01:30:00,XTZUSDT,accumgrid,Bear,0.1063,-15.5362
2021-04-24 02:30:00,2021-04-27 02:30:00,XTZUSDT,accumgrid,Bear,0.1063,8.7333
2021-04-25 06:30:00,2021-04-28 06:30:00,XTZUSDT,ripshort,Bear,0.1184,23.8351
2021-04-26 05:15:00,2021-04-29 05:15:00,XTZUSDT,ripshort,Bear,0.0000,-10.1550
2021-04-28 18:30:00,2021-04-30 18:30:00,XTZUSDT,swing_long,Bull,0.0000,5.4304
2021-04-29 08:30:00,2021-05-01 08:30:00,XTZUSDT,diplong,Bull,0.0000,1.9394
2021-05-02 09:30:00,2021-05-04 09:30:00,XTZUSDT,diplong,Bull,0.0000,5.2490
2021-05-03 00:30:00,2021-05-05 00:30:00,XTZUSDT,swing_long,Bull,0.0000,2.7936
2021-05-06 16:15:00,2021-05-08 16:15:00,XTZUSDT,swing_long,Bull,0.0000,34.4099
2021-05-09 11:30:00,2021-05-11 11:30:00,XTZUSDT,diplong,Bull,0.0000,-11.7232
2021-05-12 01:30:00,2021-05-15 01:30:00,XTZUSDT,ripshort,Bear,0.1184,-16.0618
2021-05-19 17:15:00,2021-05-22 17:15:00,XTZUSDT,ripshort,Bear,0.1184,33.5985
