entry_time,exit_time,symbol,strategy,regime,conf,return_pct
2021-09-23 21:15:00,2021-09-24 19:00:00,XTZUSDT,swing,Bull,0.2893,-9.5964
2021-11-13 15:30:00,2021-11-16 15:30:00,XTZUSDT,swing,Bear,0.4974,8.2546
2021-11-30 06:30:00,2021-11-30 15:45:00,XTZUSDT,diplong,Bull,0.1407,2.7439
2021-12-12 21:45:00,2021-12-14 03:00:00,XTZUSDT,swing,Bull,0.4973,2.6357
2021-12-22 14:15:00,2021-12-25 00:30:00,XTZUSDT,diplong,Bull,0.1442,4.6139
2022-01-26 00:30:00,2022-01-26 01:30:00,XTZUSDT,grid,Bull,0.2594,1.6047
2022-02-07 08:15:00,2022-02-07 10:15:00,YGGUSDT,grid,Bull,0.0104,1.4194
2022-02-15 17:30:00,2022-02-18 17:30:00,XTZUSDT,swing,Bull,0.4974,11.7098
2022-02-23 13:30:00,2022-02-24 20:00:00,XTZUSDT,swing,Bull,0.4974,4.5986
2022-02-26 10:45:00,2022-02-28 14:30:00,XTZUSDT,swing,Bull,0.4922,2.5926
2022-03-02 00:30:00,2022-03-05 00:30:00,XTZUSDT,swing,Bull,0.4974,12.5460
2022-03-02 18:15:00,2022-03-02 21:15:00,YGGUSDT,grid,Bull,0.0102,1.4497
2022-03-09 10:45:00,2022-03-10 08:30:00,XTZUSDT,swing,Bull,0.4974,2.7519
2022-03-23 20:15:00,2022-03-24 17:45:00,XTZUSDT,diplong,Bull,0.1442,2.3779
2022-04-14 22:45:00,2022-04-19 13:45:00,XTZUSDT,ripshort,Bear,0.0000,-3.8846
2022-05-04 07:15:00,2022-05-04 19:00:00,XTZUSDT,ripshort,Bear,0.0000,-4.6592
2022-05-13 07:45:00,2022-05-16 07:15:00,EGLDUSDT,swing,Bear,0.3975,-6.7350
2022-05-13 08:00:00,2022-05-16 07:15:00,THETAUSDT,swing,Bear,0.4973,5.2283
2022-05-20 06:30:00,2022-05-20 08:30:00,FLOWUSDT,grid,Bull,0.0103,1.8448
2022-05-26 17:00:00,2022-05-30 02:15:00,XTZUSDT,ripshort,Bear,0.0000,-7.1858
2022-06-06 00:45:00,2022-06-06 19:15:00,XTZUSDT,swing_long,Bull,0.1647,2.4192
2022-06-06 20:15:00,2022-06-07 04:00:00,ZECUSDT,swing,Bull,0.4974,2.0134
2022-06-09 10:00:00,2022-06-12 09:30:00,DASHUSDT,swing,Ranging,0.4974,18.2538
2022-06-10 11:30:00,2022-06-13 11:15:00,KAVAUSDT,swing,Ranging,0.4974,38.1601
2022-06-14 11:00:00,2022-06-15 20:30:00,EGLDUSDT,swing,Bear,0.3975,-12.7187
2022-06-15 20:00:00,2022-06-18 19:15:00,KAVAUSDT,swing,Bear,0.4974,12.3545
2022-06-16 00:30:00,2022-06-18 23:45:00,ZECUSDT,swing,Bear,0.4974,13.0606
2022-06-16 01:45:00,2022-06-19 01:00:00,CELOUSDT,swing,Bear,0.4974,14.8249
2022-06-16 02:30:00,2022-06-16 13:00:00,YGGUSDT,swing,Bear,0.3929,2.4196
2022-06-16 03:30:00,2022-06-17 06:45:00,DASHUSDT,swing,Bear,0.4974,2.5690
2022-06-16 03:30:00,2022-06-17 07:15:00,XTZUSDT,swing,Bear,0.4974,2.4336
