time,hmm_label,p0,p1,p2,p3,p4,p5
2021-01-12 11:00:00,pc1,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
2021-01-12 12:00:00,pc1,0.00000,0.00000,0.00000,0.00014,0.00027,0.99959
2021-01-12 13:00:00,pc1,0.00000,0.00000,0.00000,0.00004,0.04638,0.95359
2021-01-12 14:00:00,pc1,0.00000,0.00000,0.00000,0.00001,0.59329,0.40670
2021-01-12 15:00:00,pc1,0.00001,0.00000,0.00000,0.00001,0.89332,0.10666
2021-01-12 16:00:00,pc1,0.10720,0.00024,0.00005,0.00139,0.22293,0.66819
2021-01-12 17:00:00,pc1,0.68705,0.00006,0.00001,0.00038,0.05563,0.25686
2021-01-12 18:00:00,pc1,0.92086,0.00002,0.00000,0.00010,0.01386,0.06516
2021-01-12 19:00:00,pc1,0.97474,0.00000,0.00000,0.00002,0.00892,0.01632
2021-01-12 20:00:00,pc1,0.94255,0.00000,0.00000,0.00001,0.05332,0.00412
2021-01-12 21:00:00,pc1,0.98431,0.00000,0.00000,0.00001,0.01462,0.00106
2021-01-12 22:00:00,pc1,0.24563,0.00000,0.00000,0.00000,0.75407,0.00030
2021-01-12 23:00:00,pc1,0.06120,0.00000,0.00000,0.00000,0.93856,0.00023
2021-01-13 00:00:00,pc1,0.01527,0.00000,0.00000,0.00000,0.26364,0.72108
2021-01-13 01:00:00,pc1,0.00381,0.00000,0.00000,0.00000,0.71987,0.27632
2021-01-13 02:00:00,pc1,0.00095,0.00000,0.00000,0.00030,0.91469,0.08407
2021-01-13 03:00:00,pc1,0.00026,0.00000,0.00000,0.01605,0.96215,0.02154
2021-01-13 04:00:00,pc1,0.00007,0.00000,0.00000,0.00399,0.99056,0.00539
2021-01-13 05:00:00,pc1,0.00002,0.00000,0.00000,0.00135,0.99725,0.00138
2021-01-13 06:00:00,pc1,0.00001,0.00000,0.00000,0.03780,0.96181,0.00038
2021-01-13 07:00:00,pc1,0.00075,0.00000,0.00000,0.75668,0.24007,0.00250
2021-01-13 08:00:00,pc1,0.00121,0.00000,0.00000,0.93833,0.05983,0.00063
2021-01-13 09:00:00,pc1,0.00319,0.00000,0.00000,0.98176,0.01489,0.00016
2021-01-13 10:00:00,pc1,0.01221,0.00759,0.00000,0.97616,0.00370,0.00033
2021-01-13 11:00:00,pc1,0.30363,0.00209,0.00000,0.69326,0.00092,0.00009
2021-01-13 12:00:00,pc1,0.78540,0.00093,0.00012,0.21329,0.00023,0.00003
2021-01-13 13:00:00,pc1,0.93941,0.00382,0.00244,0.05427,0.00006,0.00001
2021-01-13 14:00:00,pc1,0.98489,0.00095,0.00063,0.01351,0.00001,0.00000
2021-01-13 15:00:00,pc1,0.96557,0.00640,0.02467,0.00336,0.00000,0.00000
2021-01-13 16:00:00,pc1,0.24645,0.50995,0.24276,0.00084,0.00000,0.00000
2021-01-13 17:00:00,pc1,0.06141,0.80713,0.13125,0.00021,0.00000,0.00000
2021-01-13 18:00:00,pc1,0.01528,0.95200,0.03266,0.00005,0.00000,0.00000
2021-01-13 19:00:00,pc1,0.00380,0.98806,0.00812,0.00001,0.00000,0.00000
2021-01-13 20:00:00,pc1,0.00094,0.99704,0.00202,0.00000,0.00000,0.00000
2021-01-13 21:00:00,pc1,0.00023,0.99926,0.00050,0.00000,0.00000,0.00000
2021-01-13 22:00:00,pc1,0.00006,0.99982,0.00012,0.00000,0.00000,0.00000
2021-01-13 23:00:00,pc1,0.00001,0.99995,0.00003,0.00000,0.00000,0.00000
2021-01-14 00:00:00,pc1,0.00000,0.99999,0.00001,0.00000,0.00000,0.00000
2021-01-14 01:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 02:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 03:00:00,pc1,0.00000,0.99996,0.00004,0.00000,0.00000,0.00000
2021-01-14 04:00:00,pc1,0.00000,0.99999,0.00001,0.00000,0.00000,0.00000
2021-01-14 05:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 06:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 07:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 08:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 09:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 10:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 11:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
2021-01-14 12:00:00,pc1,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
